"Module"	"Gene1"	"Gene2"
"M1"	"TIMP4"	"TRPV6"
"M1"	"TIMP4"	"PTP4A1"
"M1"	"TIMP4"	"CD2AP"
"M1"	"TIMP4"	"GPI"
"M1"	"TIMP4"	"BAIAP2L1"
"M1"	"TIMP4"	"AKT1"
"M1"	"TIMP4"	"SHROOM1"
"M1"	"TIMP4"	"TNS1"
"M1"	"TIMP4"	"FGFR2"
"M1"	"TIMP4"	"ZNF490"
"M1"	"NPY1R"	"TBC1D8"
"M1"	"NPY1R"	"CDH8"
"M1"	"NPY1R"	"KPNA3"
"M1"	"NPY1R"	"MAL2"
"M1"	"NPY1R"	"FAIM2"
"M1"	"NPY1R"	"CSRP3"
"M1"	"NPY1R"	"MPZL1"
"M1"	"NPY1R"	"MPPED1"
"M1"	"NPY1R"	"PTP4A1"
"M1"	"NPY1R"	"PGR"
"M1"	"NPY1R"	"RGL2"
"M1"	"NPY1R"	"CCDC42"
"M1"	"NPY1R"	"MLLT6"
"M1"	"NPY1R"	"BIRC7"
"M1"	"NPY1R"	"SDCCAG8"
"M1"	"NPY1R"	"REG1A"
"M1"	"NPY1R"	"PSMB1"
"M1"	"NPY1R"	"STON2"
"M1"	"NPY1R"	"OLIG3"
"M1"	"NPY1R"	"PEX2"
"M1"	"NPY1R"	"NRARP"
"M1"	"NPY1R"	"PRX"
"M1"	"NPY1R"	"CAMK2A"
"M1"	"NPY1R"	"CDH3"
"M1"	"NPY1R"	"APBB1IP"
"M1"	"NPY1R"	"NMT2"
"M1"	"NPY1R"	"FCER1A"
"M1"	"NPY1R"	"PRKAA2"
"M1"	"NPY1R"	"HSPA2"
"M1"	"NPY1R"	"CYP11A1"
"M1"	"NPY1R"	"SRR"
"M1"	"NPY1R"	"SCEL"
"M1"	"NPY1R"	"C4BPA"
"M1"	"NPY1R"	"CLCA1"
"M1"	"NPY1R"	"GAS1"
