"genes"	"modules"
"CALHM2"	"M3"
"MAGEL2"	"M3"
"LIN7A"	"M1"
"FOXS1"	"M7"
"VIPR2"	"M5"
"KCNH1"	"M5"
"ZNF681"	"M5"
"KIRREL3"	"M2"
"ADRA2C"	"M3"
"OTX1"	"M7"
"GLT8D2"	"M1"
"FRMPD4"	"M5"
"MRAP2"	"M7"
"SGSM1"	"M5"
"RGS7"	"M2"
"HTRA3"	"M7"
"CKM"	"M1"
"GPR156"	"M8"
"TCF7"	"M1"
"DOK5"	"M4"
"KCNJ3"	"M5"
"TSPO"	"M3"
"GNAL"	"M5"
"KCNIP1"	"M4"
"PCYT1B"	"M4"
"GUCY2D"	"M1"
"RAB26"	"M4"
"PDE6G"	"M1"
"KIAA0319"	"M2"
"SEMA3D"	"Not.Correlated"
"FAXDC2"	"M9"
"TBX18"	"M7"
"FOXQ1"	"M3"
"KCNJ12"	"M4"
"VSNL1"	"M5"
"TAL1"	"M2"
"TMEFF2"	"M4"
"RGS11"	"M4"
"VTN"	"M1"
"CBLN3"	"M4"
"SCN5A"	"M3"
"CDH20"	"M6"
"PTGS1"	"M3"
"ASIC2"	"M1"
"RPRM"	"Not.Correlated"
"IRX5"	"M4"
"CACNG7"	"M4"
"GABRG3"	"M1"
"ABCA9"	"M7"
"KCNJ5"	"M3"
"BEGAIN"	"M5"
"MOBP"	"M6"
"PRMT8"	"M1"
"FIBCD1"	"M2"
"HAND2"	"M3"
"FIGNL2"	"M5"
"PDIA5"	"M1"
"A4GALT"	"M7"
"CP"	"M6"
"UGT8"	"M4"
"FAM198A"	"M9"
"PDE1A"	"M9"
"CHRNA3"	"M9"
"KCNJ10"	"M6"
"IPCEF1"	"M8"
"NKX6-1"	"M3"
"GLI1"	"M7"
"EMB"	"M3"
"SIX5"	"M3"
"OSBPL6"	"Not.Correlated"
"MDFI"	"M3"
"DCT"	"M3"
"SUSD4"	"M9"
"ADAMTS5"	"M3"
"OGN"	"M7"
"POU6F2"	"M7"
"CES1"	"M3"
"ADRA2A"	"M5"
"BCHE"	"M9"
"IGF1"	"M3"
"TGFB1I1"	"M3"
"YPEL4"	"M5"
"RNF43"	"M4"
"TRIM71"	"M5"
"SIX1"	"M2"
"TAC1"	"M8"
"TGFA"	"M4"
"INS-IGF2"	"M7"
"PKP2"	"M3"
"CSMD3"	"M6"
"PPP1R1A"	"M2"
"ZBED9"	"M1"
"GABRE"	"M3"
"HEPACAM"	"M6"
"ITGA11"	"M7"
"CD82"	"M3"
"RORB"	"M2"
"RAI2"	"M3"
"CA14"	"M4"
"NDP"	"M9"
"B3GALT1"	"Not.Correlated"
"HCN1"	"M2"
"PDIA2"	"M3"
"FBXO17"	"M3"
"GREB1L"	"M4"
"TRHDE"	"M9"
"NOS1"	"M4"
"PIEZO2"	"M3"
"ART3"	"M1"
"RAMP1"	"M6"
"PCSK1"	"M3"
"CACNA2D3"	"M2"
"ZNF730"	"M5"
"CCDC8"	"M3"
"PLVAP"	"M1"
"SHISA9"	"M2"
"PPARGC1A"	"M4"
"GSG1"	"M1"
"VSTM2L"	"M1"
"SSPO"	"M1"
"DCDC1"	"M4"
"THSD7B"	"M7"
"DAPK2"	"M2"
"ADCY8"	"M9"
"BARHL2"	"M4"
